s,method,param,mse,w2_squared
0.3,freirich_optimal,0.95,1.1865614658591375,0.4849109907512693
0.3,freirich_optimal,1.0,1.1858551253134306,0.5378611876902165
0.5,avg_denoiser,0.5,0.617802746600522,0.13791972766776178
0.5,avg_denoiser,0.55,0.6208632219099963,0.11157782583235397
0.5,avg_denoiser,0.6,0.6293674571994253,0.08896003230469934
0.5,avg_denoiser,0.65,0.6424090930610954,0.0701112870320118
0.5,avg_denoiser,0.7,0.6582708760239777,0.05478661819483849
0.5,avg_denoiser,0.75,0.6749708645572894,0.04240910652611502
0.5,avg_denoiser,0.8,0.6911396073383559,0.03213347689025428
0.5,avg_denoiser,0.85,0.7066994938944783,0.02325551377817211
0.5,avg_denoiser,0.9,0.7226350478790244,0.015926710817951106
0.5,avg_denoiser,0.95,0.740220218606424,0.010997172575820299
0.5,avg_denoiser,1.0,0.760384767482043,0.00937364001862572
0.5,freirich_optimal,0.0,0.7681016956596737,0.0022258926745972
0.5,freirich_optimal,0.05,0.7537439994908568,0.0021917548927224734
0.5,freirich_optimal,0.1,0.7401065926605517,0.0028767089490156165
0.5,freirich_optimal,0.15,0.727189475168758,0.004280294055073787
0.5,freirich_optimal,0.2,0.7149926470154757,0.0064029068022417755
0.5,freirich_optimal,0.25,0.7035161082007049,0.00924319986923252
0.5,freirich_optimal,0.3,0.6927598587244457,0.012801763862608201
0.5,freirich_optimal,0.35,0.6827238985866978,0.01707868460667844
0.5,freirich_optimal,0.4,0.6734082277874615,0.022074077094528934
0.5,freirich_optimal,0.45,0.6648128463267369,0.02778775493668731
0.5,freirich_optimal,0.5,0.6569377542045235,0.03422027359791985
0.5,freirich_optimal,0.55,0.6497829514208217,0.041370212563445564
0.5,freirich_optimal,0.6,0.6433484379756313,0.049237587975760735
0.5,freirich_optimal,0.65,0.6376342138689525,0.057818639005536444
0.5,freirich_optimal,0.7,0.632640279100785,0.06711562731245353
0.5,freirich_optimal,0.75,0.6283666336711291,0.07712807691744795
0.5,freirich_optimal,0.8,0.6248132775799848,0.08785753334868916
0.5,freirich_optimal,0.85,0.6219802108273519,0.09930435288410148
0.5,freirich_optimal,0.9,0.6198674334132305,0.111466527706349
0.5,freirich_optimal,0.95,0.6184749453376205,0.12433942432643622
0.5,freirich_optimal,1.0,0.617802746600522,0.13791972766776178
0.7,avg_denoiser,0.7,0.1752532115903289,0.03909183750657733
0.7,avg_denoiser,0.75,0.1759879397685008,0.03484315616150383
0.7,avg_denoiser,0.8,0.1780690023917422,0.030034451432508612
0.7,avg_denoiser,0.85,0.18162670019599983,0.024850904698368034
0.7,avg_denoiser,0.9,0.18691178478780054,0.020115675275519607
0.7,avg_denoiser,0.95,0.19415887429426362,0.01669266369709459
0.7,avg_denoiser,1.0,0.20338014174986815,0.015119328983750471
0.7,freirich_optimal,0.0,0.21914565961993693,0.002225892674597198
0.7,freirich_optimal,0.05,0.2149585622069591,0.0021062212984891246
0.7,freirich_optimal,0.1,0.21098119900571782,0.0021911441509906496
0.7,freirich_optimal,0.15,0.2072135700162131,0.0024818917770512176
0.7,freirich_optimal,0.2,0.203655675238445,0.0029800136051876132
0.7,freirich_optimal,0.25,0.20030751467241342,0.0036844446625759514
0.7,freirich_optimal,0.3,0.19716908831811844,0.004596076909966665
0.7,freirich_optimal,0.35,0.19424039617556005,0.005715046859736015
0.7,freirich_optimal,0.4,0.1915214382447382,0.007042187692501248
0.7,freirich_optimal,0.45,0.18901221452565295,0.008577099469672824
0.7,freirich_optimal,0.5,0.18671272501830424,0.010319570232499516
0.7,freirich_optimal,0.55,0.18462296972269213,0.012269279135966576
0.7,freirich_optimal,0.6,0.18274294863881657,0.0144266475749633
0.7,freirich_optimal,0.65,0.18107266176667763,0.01679019368299827
0.7,freirich_optimal,0.7,0.17961210910627523,0.019361264680235836
0.7,freirich_optimal,0.75,0.1783612906576094,0.02213722506864396
0.7,freirich_optimal,0.8,0.17732020642068017,0.02512001214832642
0.7,freirich_optimal,0.85,0.17648885639548748,0.028310429651383334
0.7,freirich_optimal,0.9,0.17586724058203135,0.031703599685525614
0.7,freirich_optimal,0.95,0.17545535898031184,0.03529732602898363
0.7,freirich_optimal,1.0,0.1752532115903289,0.03909183750657733
