s,method,param,mse,w2_squared
0.7,freirich_optimal,0.15,0.19562229064988393,0.004796185752327688
0.7,freirich_optimal,0.2,0.19247118220822432,0.00498070869368136
0.7,freirich_optimal,0.25,0.18951404224310345,0.005354704808779557
0.7,freirich_optimal,0.3,0.18675087075452126,0.005918641794203215
0.7,freirich_optimal,0.35,0.18418166774247788,0.006673273935993828
0.7,freirich_optimal,0.4,0.18180643320697318,0.007619466440054906
0.7,freirich_optimal,0.45,0.1796251671480072,0.00875770949275106
0.7,freirich_optimal,0.5,0.17763786956557992,0.01008262729138046
0.7,freirich_optimal,0.55,0.1758445404596914,0.011596626939015522
0.7,freirich_optimal,0.6,0.17424517983034155,0.013300715125576994
0.7,freirich_optimal,0.65,0.1728397876775305,0.015194195353373949
0.7,freirich_optimal,0.7,0.17162836400125814,0.017267245660475897
0.7,freirich_optimal,0.75,0.1706109088015245,0.01952987335171905
0.7,freirich_optimal,0.8,0.16978742207832956,0.021970400263823034
0.7,freirich_optimal,0.85,0.16915790383167337,0.02458803963702704
0.7,freirich_optimal,0.9,0.16872235406155592,0.027389900691576097
0.7,freirich_optimal,0.95,0.16848077276797715,0.030368625185112227
0.7,freirich_optimal,1.0,0.16843315995093716,0.033522403661404
